Date,Australia,Nethelands,Germany,Canada,Hong_Kong,France ,Belgium,US,Japan ,Spain,Sweden ,UK,Italy,Singapore,Thailand,Chile,Brazil,Argentina,Russia,Turkey,Portugal,Finland,South Africa,Indonesia,Venezuela
1/1/2009,3540.70,248.60,4338.35,8694.90,13278209961.00,2973919922.00,1900089966.00,825880005.00,7994.05,8450.40,617.38,4149.64,121.11,4211.72,437.69,2549.46,39300.79,1077.09,624.90,259.34,6438.19,1448.80,18519.77,1332.67,65337.55
2/1/2009,3344.50,219.81,3843.74,8123.02,12811570313.00,2702479980.00,1696579956.00,735090027.00,7568.42,7620.90,640.39,3830.09,111.40,4022.83,431.52,2468.63,38183.31,1019.29,666.05,240.27,6003.75,1266.21,16514.30,1285.48,66106.68
3/1/2009,3582.10,216.98,4084.76,8720.39,13576019531.00,2807340088.00,1748739990.00,797869995.00,8109.53,7815.00,653.04,3926.14,133.24,4093.52,431.50,2478.94,40925.90,1125.95,772.93,257.65,6174.74,1272.38,18441.62,1434.07,67504.11
4/1/2009,3780.50,240.76,4769.45,9324.83,15520990234.00,3159850098.00,1953349976.00,872809998.00,8828.26,9038.00,763.89,4243.71,125.24,3965.41,491.69,2670.78,47289.50,1275.25,920.35,316.52,6755.70,1596.81,18514.32,1722.77,65282.71
5/1/2009,3818.00,259.45,4940.82,10370.07,18171000000.00,3277649902.00,2071370117.00,919140015.00,9522.50,9424.30,776.50,4417.94,112.64,3674.26,560.41,3100.42,53197.70,1587.21,1123.38,350.03,7223.90,1651.31,20605.38,1916.83,64768.77
6/1/2009,3954.90,254.71,4808.64,10374.91,18378730469.00,3140439941.00,2030979980.00,919320007.00,9958.44,9787.80,795.80,4249.21,121.80,3727.44,597.48,3090.50,51465.50,1587.97,971.55,369.49,7110.88,1602.21,19819.52,2026.78,64079.49
7/1/2009,4244.00,283.17,5332.14,10787.15,20573330078.00,3426270020.00,2169139893.00,987479980.00,10356.83,10855.10,882.05,4608.36,105.31,3455.92,624.00,3226.20,54765.70,1719.87,1053.30,426.41,7292.99,1749.35,21855.80,2323.24,65158.40
8/1/2009,4479.10,296.27,5464.61,10868.21,19724189453.00,3653540039.00,2364949951.00,1020619995.00,10492.53,11365.10,904.84,4908.90,106.79,3335.31,653.25,3175.18,56489.00,1781.89,1091.98,465.51,7828.32,1896.82,22388.89,2341.54,62141.95
9/1/2009,4743.60,311.35,5675.16,11394.96,20955250000.00,3795409912.00,2485620117.00,1057079956.00,10133.23,11756.10,896.76,5133.90,127.78,3683.64,717.07,3372.86,61517.90,2075.14,1197.20,479.10,8474.95,1926.10,22284.39,2467.59,61316.01
10/1/2009,4643.20,302.36,5414.96,10910.75,21752869141.00,3607689941.00,2392719971.00,1036189941.00,10034.74,11414.80,944.67,5044.55,137.27,3506.43,685.24,3314.45,61545.50,2115.76,1237.18,471.85,8341.42,1845.48,23655.66,2367.70,58345.37
11/1/2009,4701.40,305.90,5625.95,11447.20,21821500000.00,3680149902.00,2421290039.00,1095630005.00,9345.55,11644.70,936.19,5190.68,128.03,3364.82,689.07,3255.32,67044.40,2147.25,1284.95,453.50,8253.96,1903.13,24357.77,2415.84,56153.91
12/1/2009,4870.60,335.33,5957.43,11746.11,21872500000.00,3936330078.00,2511620117.00,1115099976.00,10546.44,11940.00,951.72,5412.88,135.83,3340.84,734.54,3581.42,68588.40,2320.73,1370.01,528.25,8463.85,2032.59,24996.97,2534.36,59306.35
1/1/2010,4569.60,327.90,5608.79,11094.31,20121990234.00,3739459961.00,2505199951.00,1073869995.00,10198.04,10947.70,953.71,5188.52,148.38,3555.74,696.55,3808.96,65401.80,2298.55,1419.42,546.51,7927.31,2057.18,24041.26,2610.80,55075.68
2/1/2010,4637.70,317.74,5598.46,11629.63,20608699219.00,3708800049.00,2514870117.00,1104489990.00,10126.03,10333.60,947.39,5354.52,146.83,3384.20,721.37,3827.44,66503.30,2221.38,1332.64,497.05,7559.17,2071.79,23994.59,2549.03,53353.68
3/1/2010,4875.50,344.22,6153.55,12037.73,21239349609.00,3974010010.00,2648459961.00,1169430054.00,11089.94,10871.30,1021.08,5679.64,145.16,3232.66,787.98,3763.12,70371.50,2373.71,1450.15,565.38,8102.15,2246.04,25833.44,2777.30,50791.82
4/1/2010,4807.40,345.91,6135.70,12210.70,21108589844.00,3816989990.00,2560989990.00,1186689941.00,11057.40,10492.20,1053.89,5553.29,152.93,3261.34,763.51,3865.45,67529.70,2396.27,1436.04,589.59,7408.45,2248.71,25629.93,2971.25,50337.01
5/1/2010,4429.70,320.70,5964.33,11762.99,19765189453.00,3507560059.00,2453370117.00,1089410034.00,9768.70,9359.40,980.63,5188.43,143.65,3082.79,750.43,3886.86,63046.50,2203.60,1332.62,543.85,7072.01,2100.78,24157.99,2796.96,50524.13
6/1/2010,4301.50,316.81,5965.52,11294.42,20128990234.00,3442889893.00,2386530029.00,1030709961.00,9382.64,9263.40,1005.93,4916.87,130.87,3192.06,797.31,4065.29,60935.90,2185.01,1309.31,548.39,7065.65,2094.53,23294.83,2913.68,45702.10
7/1/2010,4493.50,330.64,6147.97,11713.43,21029810547.00,3643139893.00,2517300049.00,1101599976.00,9537.30,10499.80,1047.26,5258.02,120.69,2763.00,855.83,4364.15,67515.40,2394.16,1397.12,598.67,7371.79,2231.87,25224.60,3069.28,44544.03
