Date,AUD,EURO,CAD,JPY,GBP
1/1/2000,1.42,0.89,1.30,108.68,0.76
2/1/2000,1.48,0.91,1.33,109.51,0.77
3/1/2000,1.45,0.90,1.32,108.08,0.77
4/1/2000,1.48,0.92,1.32,108.09,0.81
5/1/2000,1.49,0.91,1.33,106.22,0.82
6/1/2000,1.45,0.90,1.31,108.60,0.82
7/1/2000,1.43,0.88,1.31,107.79,0.79
8/1/2000,1.44,0.90,1.35,108.69,0.79
9/1/2000,1.42,0.89,1.34,111.37,0.77
10/1/2000,1.41,0.89,1.34,110.81,0.77
11/1/2000,1.41,0.88,1.32,111.38,0.75
12/1/2000,1.37,0.87,1.31,108.85,0.76
1/1/2001,1.42,0.87,1.36,109.72,0.78
2/1/2001,1.37,0.88,1.33,113.53,0.78
3/1/2001,1.41,0.88,1.31,112.93,0.78
4/1/2001,1.38,0.86,1.29,113.49,0.77
5/1/2001,1.39,0.86,1.31,110.85,0.77
6/1/2001,1.35,0.85,1.30,111.91,0.76
7/1/2001,1.35,0.86,1.32,110.84,0.76
8/1/2001,1.32,0.86,1.30,108.76,0.75
9/1/2001,1.33,0.83,1.28,109.38,0.73
10/1/2001,1.30,0.81,1.29,106.21,0.71
11/1/2001,1.28,0.82,1.28,106.72,0.72
12/1/2001,1.24,0.80,1.23,109.27,0.70
1/1/2002,1.28,0.83,1.25,112.64,0.74
2/1/2002,1.32,0.84,1.29,112.20,0.74
3/1/2002,1.31,0.86,1.29,113.71,0.75
4/1/2002,1.27,0.85,1.25,112.61,0.75
5/1/2002,1.26,0.84,1.25,110.17,0.78
6/1/2002,1.25,0.85,1.25,110.49,0.76
7/1/2002,1.30,0.88,1.30,112.34,0.77
8/1/2002,1.35,0.89,1.35,110.68,0.77
9/1/2002,1.34,0.92,1.37,111.42,0.77
10/1/2002,1.31,0.94,1.33,111.50,0.80
11/1/2002,1.30,0.94,1.32,112.00,0.80
12/1/2002,1.32,0.93,1.30,112.79,0.80
1/1/2003,1.38,0.95,1.34,116.75,0.81
2/1/2003,1.35,0.95,1.35,114.28,0.80
3/1/2003,1.31,0.91,1.34,105.14,0.82
4/1/2003,1.30,0.89,1.31,101.28,0.77
5/1/2003,1.33,0.90,1.31,103.46,0.76
6/1/2003,1.32,0.89,1.30,102.30,0.75
7/1/2003,1.34,0.90,1.30,102.70,0.75
8/1/2003,1.38,0.90,1.31,110.95,0.69
9/1/2003,1.31,0.87,1.25,106.85,0.68
