Date,Australia,Nethelands,Germany,Canada,Hong_Kong,France ,Belgium,US,Japan ,Spain,Sweden ,UK,Italy,Singapore,Thailand,Chile,Brazil,Argentina,Russia,Turkey,Portugal,Finland,South Africa,Indonesia,Venezuela
1/1/2000,3080.20,612.38,6835.60,8481.11,15532339844.00,5659810059.00,2806290039.00,1394459961.00,19539.70,10835.10,1220.23,6268.50,112.52,3958.79,477.57,1151.42,16388.27,566.28,188.81,167.15,12385.55,3234.78,7771.66,636.37,90224.09
2/1/2000,3124.60,664.28,7644.55,9128.99,17169439453.00,6190959961.00,2746080078.00,1366420044.00,19959.52,12585.80,1433.08,6232.56,109.75,3844.90,374.32,1106.18,17660.20,631.64,191.49,159.46,14644.27,3239.69,7287.01,576.54,69894.88
3/1/2000,3133.30,662.29,7599.39,9462.39,17406539063.00,6286049805.00,2777840088.00,1498579956.00,20337.32,11935.00,1383.66,6540.22,108.78,3907.83,400.32,1128.58,17820.37,569.24,254.68,159.20,13127.09,3189.06,7388.34,583.28,47772.07
4/1/2000,3115.80,661.38,7414.68,9347.61,15519299805.00,6419720215.00,2813280029.00,1452430054.00,17973.70,11467.90,1429.61,6327.43,103.99,3709.37,390.40,1075.01,15537.60,509.51,242.85,192.06,12235.62,3170.85,6913.24,526.74,48856.03
5/1/2000,3081.00,655.50,7109.67,9251.99,14713860352.00,6426259766.00,2849429932.00,1420599976.00,16332.45,10688.50,1377.15,6359.35,101.37,3666.83,323.29,1124.19,14956.61,464.30,217.05,162.06,11864.13,2901.45,6921.37,454.33,55583.02
6/1/2000,3311.20,672.14,6898.21,10195.45,16155780273.00,6446540039.00,2953280029.00,1454599976.00,17411.05,10581.30,1315.10,6312.71,102.74,3941.87,325.69,1108.66,16727.95,496.90,194.93,144.66,11923.37,2764.66,7304.22,515.11,25788.69
7/1/2000,3251.10,668.18,7190.37,10406.31,16840980469.00,6542490234.00,3068610107.00,1430829956.00,15727.49,10531.60,1320.12,6365.26,104.61,3999.34,284.67,1074.79,16454.60,502.01,200.22,138.70,11937.44,2670.41,7382.12,492.19,18453.85
8/1/2000,3297.80,689.52,7216.45,11247.91,17097509766.00,6625419922.00,3132520020.00,1517680054.00,16861.26,10884.70,1336.87,6672.66,95.61,3626.32,307.83,1123.29,17346.70,474.66,239.03,131.32,11900.26,2646.50,8145.43,466.38,15791.62
9/1/2000,3298.80,661.52,6798.12,10377.92,15648980469.00,6266629883.00,3056010010.00,1436510010.00,15747.26,10950.00,1218.17,6294.20,106.11,4046.91,277.29,1109.79,15928.39,475.42,204.61,113.50,11778.95,2447.36,7957.59,421.34,17775.65
10/1/2000,3254.60,680.56,7077.44,9639.57,14895339844.00,6397660156.00,3110110107.00,1429400024.00,14539.60,10363.10,1179.31,6438.40,104.19,3818.45,271.84,1060.72,14867.23,440.90,192.22,135.38,10981.81,2415.77,7931.30,405.35,8567.89
