Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
3/1/2014,3.26,-1.01,0.34,2.44,-0.84,0.07,-0.57,-2.56,2.68,2.29
4/1/2014,1.42,0.27,0.87,5.65,-1.19,0.25,-0.94,-0.30,3.97,-1.62
5/1/2014,3.44,0.64,1.26,0.86,3.45,3.97,0.94,1.88,0.00,1.77
6/1/2014,1.17,4.38,1.38,4.16,2.98,1.60,1.28,2.86,5.41,2.14
7/1/2014,-4.31,-4.63,-4.16,-3.60,0.32,0.46,-2.30,-0.34,-6.48,-2.18
8/1/2014,5.54,5.20,4.77,2.27,4.28,0.52,5.15,5.43,5.39,4.40
9/1/2014,-0.08,-9.42,-2.37,-8.01,-1.30,-1.71,-1.43,-0.08,-3.40,-1.04
10/1/2014,2.64,3.86,2.35,-4.44,1.31,1.41,3.03,5.76,6.69,3.27
11/1/2014,4.79,4.74,2.23,-9.87,4.25,3.04,7.46,2.66,0.29,2.75
12/1/2014,-2.36,0.58,-0.18,0.41,-1.28,-1.74,1.59,-0.88,1.85,1.13
1/1/2015,-0.55,-4.19,-3.86,-4.37,-3.29,-4.90,-0.30,1.56,1.18,-6.12
2/1/2015,5.03,8.08,6.23,4.82,8.28,9.10,5.56,4.31,-4.37,6.86
3/1/2015,-2.43,-0.40,-2.02,-2.67,-2.45,-2.21,0.70,0.84,-0.28,-0.75
4/1/2015,0.81,-0.93,-0.63,6.97,1.34,3.40,-2.18,-1.40,0.30,0.51
5/1/2015,1.53,1.03,0.98,-5.08,2.05,0.81,0.92,4.88,-0.50,1.75
6/1/2015,-1.32,-1.50,-1.88,-3.84,-3.51,-0.51,-0.60,0.08,-5.37,-0.35
7/1/2015,4.79,-2.17,-2.12,-8.99,2.41,1.41,4.78,3.66,2.61,2.00
8/1/2015,-4.18,-6.13,-5.58,-3.63,-5.85,-8.42,-5.34,-8.34,-4.01,-6.23
9/1/2015,-0.62,-3.23,-4.22,-5.85,-1.46,-2.61,-1.81,-7.29,-0.56,-3.11
10/1/2015,6.64,6.86,9.30,12.34,10.04,8.85,4.52,7.72,2.07,6.50
11/1/2015,-0.98,1.94,0.49,1.08,1.21,-1.92,0.85,0.72,-3.45,1.17
12/1/2015,0.79,-4.03,-2.71,-9.70,-2.49,-3.02,0.29,0.38,-2.36,-2.69
