Date,Thailand,Chile,Brazil,Argentina,Russia,Turkey,Portugal,Finland,South Africa,Indonesia,Venezuela
1/1/2000,477.57,1151.42,16388.27,566.28,188.81,167.15,12385.55,3234.78,7771.66,636.37,90224.09
2/1/2000,374.32,1106.18,17660.2,631.64,191.49,159.46,14644.27,3239.69,7287.01,576.54,69894.88
3/1/2000,400.32,1128.58,17820.37,569.24,254.68,159.2,13127.09,3189.06,7388.34,583.28,47772.07
4/1/2000,390.4,1075.01,15537.6,509.51,242.85,192.06,12235.62,3170.85,6913.24,526.74,48856.03
5/1/2000,323.29,1124.19,14956.61,464.3,217.05,162.06,11864.13,2901.45,6921.37,454.33,55583.02
6/1/2000,325.69,1108.66,16727.95,496.9,194.93,144.66,11923.37,2764.66,7304.22,515.11,25788.69
7/1/2000,284.67,1074.79,16454.6,502.01,200.22,138.7,11937.44,2670.41,7382.12,492.19,18453.85
8/1/2000,307.83,1123.29,17346.7,474.66,239.03,131.32,11900.26,2646.5,8145.43,466.38,15791.62
9/1/2000,277.29,1109.79,15928.39,475.42,204.61,113.5,11778.95,2447.36,7957.59,421.34,17775.65
10/1/2000,271.84,1060.72,14867.23,440.9,192.22,135.38,10981.81,2415.77,7931.3,405.35,8567.89
11/1/2000,277.92,1086.49,13287.39,399.49,149.84,87.48,10571.9,2276.59,7576.66,429.21,10516.31
12/1/2000,269.19,1084.47,15259.29,416.77,144.39,94.37,10404.09,2321.51,8038.84,416.32,5436.77
1/1/2001,332.77,1138.47,17672.77,532.8,167.74,106.85,11194.37,2167.14,8820.31,425.61,1605.26
2/1/2001,325.2,1096.5,15891.41,435.85,158.1,87.92,10459.51,1746.19,8827.48,428.3,818.18
3/1/2001,291.94,1062.67,14438.45,443.81,166.67,80.23,9826.88,1623.36,7977.67,381.05,475676.97
4/1/2001,300.63,1105.61,14917.54,435.63,178.29,123.67,9759.71,1689.31,8804.06,358.23,342658
5/1/2001,310.13,1207.66,14649.98,439.22,207.71,108.8,9094.25,1896.41,9185.95,405.86,331655.69
6/1/2001,322.55,1169.27,14559.79,402.25,219.4,112.04,8274.44,1693.13,8943.15,437.62,89351.79
7/1/2001,297.69,1201.26,13754.16,320.79,200.64,99.15,8152.32,1546.21,8257.75,444.08,92932.01
8/1/2001,335.57,1239.65,12840.6,319.89,193.72,98.79,7540.99,1415.19,8682.66,435.55,36189.35
9/1/2001,277.04,1070.48,10635.74,243.55,167.33,76.26,7324.91,1250.21,7741.55,392.48,22217.09
10/1/2001,275.09,1121.88,11364.71,224.75,187.41,98.49,7768.01,1469.02,8104.41,383.74,4647.44
11/1/2001,302.62,1192.15,12931.71,202.45,213.32,116.34,7790.75,1559.67,8993.47,380.31,4242.88
12/1/2001,303.85,1183.15,13577.57,295.39,237.63,137.83,7831.49,1600.99,10074.38,392.04,3667.8
