Date,Germany,Australia,US,UK,Canada,Japan
1/1/2009,103.77,109.41,107.63,109.98,109.55,100.09
2/1/2009,105.34,106.81,97.69,107.53,105.37,100.31
3/1/2009,106.29,110.24,100.70,111.31,108.53,99.52
4/1/2009,104.78,97.84,96.91,108.27,105.64,98.88
5/1/2009,99.32,92.01,97.19,106.20,102.77,100.04
6/1/2009,100.97,90.97,96.59,106.59,103.20,101.32
7/1/2009,101.74,90.41,97.06,105.56,102.40,99.83
8/1/2009,102.02,92.05,101.86,107.58,103.12,100.83
9/1/2009,102.26,92.60,102.67,107.25,103.60,100.88
10/1/2009,102.23,91.24,101.95,106.96,102.65,99.00
11/1/2009,100.78,93.60,101.50,107.65,104.25,100.34
12/1/2009,98.83,90.58,96.23,103.71,101.10,100.08
1/1/2010,100.49,92.64,98.25,104.51,103.18,99.74
2/1/2010,101.25,92.24,100.05,97.78,102.80,99.92
3/1/2010,101.25,90.35,98.30,98.52,101.40,99.89
4/1/2010,102.35,90.88,99.72,106.82,98.75,100.96
5/1/2010,102.98,93.38,101.66,109.58,101.23,100.26
6/1/2010,103.90,95.33,104.81,111.48,103.53,101.89
7/1/2010,102.81,94.61,105.03,111.62,103.25,100.34
8/1/2010,101.20,97.88,101.36,115.94,106.13,101.03
9/1/2010,99.81,96.45,100.98,114.82,106.25,100.55
10/1/2010,97.65,94.73,100.19,113.60,105.80,98.78
11/1/2010,98.47,93.27,98.52,112.21,103.54,96.54
12/1/2010,96.15,92.70,94.45,110.66,103.10,100.75
1/1/2011,94.42,92.93,93.80,108.43,101.80,99.87
2/1/2011,94.33,93.06,101.70,100.55,101.57,99.49
3/1/2011,92.93,101.82,101.30,100.52,101.15,100.40
4/1/2011,100.11,102.37,102.78,102.14,102.25,100.83
5/1/2011,101.95,104.01,100.56,103.60,101.48,99.52
6/1/2011,101.87,103.83,99.70,103.01,101.05,100.58
7/1/2011,106.10,107.14,102.83,107.08,103.98,101.08
8/1/2011,100.26,110.64,99.03,109.20,106.52,100.60
9/1/2011,103.26,111.73,101.86,111.71,109.50,100.61
10/1/2011,101.88,109.32,100.08,111.43,108.25,99.55
11/1/2011,97.49,114.12,99.36,112.49,109.38,99.35
12/1/2011,101.67,116.79,101.11,115.58,111.17,101.01
1/1/2012,101.72,116.17,101.83,115.54,111.55,100.24
2/1/2012,101.47,113.79,100.23,116.66,110.62,100.29
3/1/2012,101.73,113.92,98.11,116.00,109.43,100.06
4/1/2012,100.79,117.35,100.72,116.77,110.00,100.93
5/1/2012,105.01,124.44,101.72,122.00,109.23,100.64
6/1/2012,101.32,122.77,100.97,120.20,109.18,100.56
7/1/2012,104.23,123.11,102.55,122.63,109.68,100.02
8/1/2012,103.68,122.96,100.70,122.40,108.67,100.02
9/1/2012,100.70,122.28,99.92,100.36,109.06,100.25
10/1/2012,100.15,120.97,99.38,99.17,108.47,100.22
11/1/2012,101.18,120.44,100.11,99.83,109.17,100.81
12/1/2012,101.76,119.21,98.81,99.33,108.15,99.06
1/1/2013,98.34,117.36,96.81,97.05,106.44,100.42
2/1/2013,100.37,118.22,101.08,98.11,107.71,101.24
3/1/2013,102.02,117.60,101.33,99.93,96.54,100.42
4/1/2013,102.68,120.42,102.94,100.69,98.16,99.90
5/1/2013,99.87,117.70,96.59,97.87,94.90,97.59
6/1/2013,97.94,113.97,93.58,94.42,91.75,99.60
7/1/2013,98.42,114.36,92.80,95.11,91.74,100.02
8/1/2013,96.83,112.59,97.50,95.47,90.43,100.73
9/1/2013,101.97,90.00,99.00,95.98,91.11,101.04
10/1/2013,102.88,89.09,99.63,96.83,92.16,101.92
11/1/2013,102.72,87.66,100.08,95.62,91.15,99.89
12/1/2013,100.51,87.67,97.83,93.66,89.52,98.73
1/1/2014,100.86,89.61,100.72,96.18,93.00,99.76
2/1/2014,101.12,89.49,100.78,96.10,100.64,100.13
3/1/2014,101.64,89.09,100.22,96.00,100.36,99.60
4/1/2014,102.53,90.09,100.88,96.59,100.84,99.81
5/1/2014,101.34,92.42,100.38,97.43,102.24,100.19
6/1/2014,102.29,93.42,99.86,96.62,102.33,100.31
7/1/2014,103.06,93.78,99.50,97.09,102.97,100.62
8/1/2014,105.66,95.45,100.27,103.42,104.43,100.96
9/1/2014,100.51,93.97,98.84,102.89,103.08,99.69
10/1/2014,101.43,95.58,100.34,104.44,103.91,100.41
11/1/2014,102.79,97.51,100.48,107.33,105.66,100.75
12/1/2014,104.29,103.72,100.67,108.85,106.11,101.64
1/1/2015,101.84,107.01,105.13,112.68,109.65,100.13
2/1/2015,101.72,106.99,99.98,108.40,109.06,99.62
3/1/2015,103.08,108.16,100.59,131.37,108.45,100.00
4/1/2015,101.31,105.16,99.61,128.43,106.20,100.66
5/1/2015,100.13,104.39,100.27,128.54,105.75,100.04
6/1/2015,97.50,102.12,98.17,126.03,105.12,99.45
7/1/2015,103.41,104.09,99.30,127.30,107.39,99.89
8/1/2015,101.96,104.97,98.22,100.59,106.85,100.18
9/1/2015,103.92,105.39,99.47,102.17,107.36,100.48
10/1/2015,104.52,105.14,98.67,100.71,106.29,100.92
11/1/2015,104.96,103.27,100.28,101.56,105.98,100.90
12/1/2015,103.41,112.04,99.78,100.40,107.49,100.27
