Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1/1/2004,0.12,-1.12,-0.62,0.45,4.49,1.42,0.45,3.04,1.92,2.72
2/1/2004,4.28,-0.11,1.99,4.69,-2.92,-0.79,6.08,0.91,2.06,2.02
3/1/2004,-0.30,-1.15,-0.22,-0.16,-2.53,-2.44,0.30,-3.91,1.17,-0.61
4/1/2004,1.51,2.38,-0.19,2.48,-4.89,-0.51,-2.68,3.57,-3.51,-3.84
5/1/2004,-2.19,-1.61,1.59,0.42,4.82,-2.95,0.27,-0.38,1.28,2.08
6/1/2004,1.87,5.08,5.35,5.49,2.63,0.56,0.07,-0.38,2.01,1.51
7/1/2004,-5.83,-4.69,-4.04,3.28,-8.49,-1.27,-3.98,-5.89,1.05,-2.40
8/1/2004,0.83,-2.30,1.28,-1.24,-4.42,1.28,-1.15,1.65,3.67,1.93
9/1/2004,-1.76,2.45,1.91,8.88,3.29,1.34,2.58,-1.41,1.42,1.24
10/1/2004,2.87,-2.65,-1.37,0.66,5.03,3.36,3.08,-2.41,4.23,1.22
11/1/2004,4.52,7.18,7.17,6.56,5.84,3.42,3.61,0.66,4.92,4.96
12/1/2004,4.80,4.85,2.61,-2.09,3.19,4.34,3.43,5.65,2.41,4.42
1/1/2005,-0.08,-6.71,-1.79,3.02,-6.12,-3.93,-1.08,-4.05,1.76,-2.44
2/1/2005,0.60,-0.28,4.15,19.03,-0.19,-0.15,0.86,2.47,2.32,0.22
3/1/2005,-0.88,-7.56,-1.48,-3.27,-2.41,-0.11,0.00,-0.42,0.63,-2.40
4/1/2005,-1.02,-11.06,-4.75,-5.79,-4.54,-1.94,-5.34,3.95,2.10,-1.64
5/1/2005,2.27,8.65,2.89,2.17,7.75,1.42,6.39,1.45,1.70,3.38
6/1/2005,-1.61,1.77,-1.20,5.85,-1.57,0.05,2.47,-0.56,5.57,1.40
7/1/2005,2.41,5.21,5.80,6.14,6.01,2.91,5.84,3.74,2.99,2.44
8/1/2005,0.10,-2.73,-1.40,5.71,-0.58,-1.14,-5.56,-0.33,1.16,-1.70
9/1/2005,0.25,-4.80,0.75,7.05,0.75,-1.58,-1.75,-1.95,4.39,1.22
10/1/2005,-1.81,-4.17,-2.43,-10.01,-1.64,-3.08,1.62,-3.25,-6.85,1.25
11/1/2005,1.01,2.28,5.31,1.38,6.53,2.42,4.00,1.56,-0.19,4.94
12/1/2005,-0.16,-0.66,1.44,0.72,-1.81,-1.59,-0.61,2.40,1.23,0.18
1/1/2006,0.18,6.15,5.03,12.69,3.76,3.58,1.99,2.16,3.05,1.54
2/1/2006,1.15,-0.31,1.19,-8.22,-1.25,3.30,1.44,1.07,0.23,1.09
3/1/2006,1.23,2.77,2.96,4.20,2.96,1.87,2.41,-0.96,-3.64,1.86
4/1/2006,1.03,0.53,4.01,4.64,-1.08,1.56,-1.66,-1.93,1.85,2.24
5/1/2006,1.30,0.50,-3.31,-3.38,-6.79,-0.12,-1.93,-2.19,1.52,-3.23
6/1/2006,-0.08,1.92,-0.51,2.58,-1.18,2.88,0.27,-0.14,2.41,-0.32
7/1/2006,3.49,-3.16,-3.78,4.70,-3.92,2.26,-4.31,4.27,4.87,-1.11
8/1/2006,3.09,2.06,2.08,-3.56,7.19,2.24,2.05,2.31,2.35,1.63
9/1/2006,-0.31,4.27,1.92,-3.53,3.67,3.42,5.76,1.67,-2.15,3.36
10/1/2006,2.59,5.13,4.36,5.02,4.28,5.45,3.91,1.65,5.36,2.89
11/1/2006,1.44,1.86,3.58,8.56,3.02,0.69,-1.31,0.07,3.03,1.74
12/1/2006,1.98,-0.79,0.51,-2.07,-0.99,4.36,1.45,0.07,0.70,3.22
1/1/2007,1.35,2.71,3.23,-1.31,2.17,2.88,3.55,3.49,0.38,1.09
2/1/2007,-1.79,-0.43,0.80,-2.17,-2.48,-2.50,-0.63,-2.81,4.25,-2.31
3/1/2007,2.47,-1.07,1.58,5.99,0.91,2.32,0.73,-0.21,4.34,-0.27
4/1/2007,3.74,6.26,4.40,5.39,4.90,2.11,2.23,6.83,3.92,3.39
5/1/2007,2.81,3.42,4.84,7.19,3.90,6.68,2.51,1.09,1.20,3.35
6/1/2007,-0.86,2.12,-0.60,1.04,0.60,-1.73,-1.95,-3.40,-4.78,-2.68
7/1/2007,-4.26,-5.90,-0.10,-1.02,-1.26,-3.15,-5.36,-4.03,-3.82,-5.48
8/1/2007,1.83,-1.78,0.74,0.30,2.69,-0.80,1.40,2.30,1.93,0.89
9/1/2007,3.76,1.60,5.40,7.80,4.19,1.97,-0.72,3.58,3.57,2.68
10/1/2007,2.20,1.04,0.96,2.74,6.81,-2.29,1.07,1.44,6.69,-0.12
11/1/2007,1.04,-8.72,-2.64,-4.00,-7.42,-6.75,-3.78,0.03,-0.69,-6.32
12/1/2007,-1.11,-1.89,0.89,7.60,1.43,-0.20,-2.72,-4.07,0.89,-3.60
