Date,AUD,EURO,CAD,JPY,GBP
1/1/2009,0.98,0.75,0.99,81.14,0.64
2/1/2009,1.04,0.77,1.03,83.54,0.64
3/1/2009,1.02,0.72,1.02,80.48,0.62
4/1/2009,1.04,0.74,1.03,83.56,0.64
5/1/2009,1.12,0.79,1.06,84.12,0.65
6/1/2009,1.11,0.77,1.03,86.59,0.64
7/1/2009,1.18,0.81,1.06,88.54,0.67
8/1/2009,1.19,0.81,1.05,91.15,0.69
9/1/2009,1.07,0.75,1.01,94.13,0.65
10/1/2009,1.09,0.74,1.02,93.47,0.66
11/1/2009,1.12,0.73,1.05,88.91,0.66
12/1/2009,1.12,0.72,1.07,90.34,0.62
1/1/2010,1.11,0.70,1.05,93.09,0.62
2/1/2010,1.09,0.67,1.06,86.07,0.61
3/1/2010,1.11,0.68,1.08,90.46,0.61
4/1/2010,1.13,0.68,1.07,89.48,0.63
5/1/2010,1.19,0.70,1.10,92.82,0.61
6/1/2010,1.20,0.70,1.08,94.71,0.60
7/1/2010,1.24,0.71,1.16,96.33,0.61
8/1/2010,1.25,0.71,1.10,95.47,0.62
9/1/2010,1.36,0.75,1.19,98.78,0.67
10/1/2010,1.44,0.75,1.26,98.95,0.70
11/1/2010,1.56,0.79,1.27,97.91,0.70
12/1/2010,1.57,0.78,1.24,89.63,0.69
1/1/2011,1.43,0.72,1.23,90.67,0.69
2/1/2011,1.53,0.79,1.25,95.31,0.65
3/1/2011,1.51,0.79,1.21,98.11,0.62
4/1/2011,1.27,0.71,1.06,105.99,0.56
5/1/2011,1.16,0.68,1.06,108.56,0.55
6/1/2011,1.06,0.64,1.02,108.07,0.50
7/1/2011,1.05,0.64,1.02,106.16,0.50
8/1/2011,1.05,0.64,0.99,105.48,0.51
9/1/2011,1.06,0.64,1.01,104.49,0.50
10/1/2011,1.09,0.63,1.03,99.72,0.50
11/1/2011,1.07,0.66,0.98,104.20,0.50
12/1/2011,1.12,0.67,1.00,106.55,0.50
1/1/2012,1.14,0.68,0.99,111.95,0.50
2/1/2012,1.13,0.68,1.00,110.87,0.49
3/1/2012,1.08,0.69,0.95,115.21,0.48
4/1/2012,1.13,0.70,0.99,114.86,0.49
5/1/2012,1.23,0.73,1.06,115.63,0.50
6/1/2012,1.16,0.73,1.07,119.00,0.49
7/1/2012,1.18,0.74,1.06,123.48,0.50
8/1/2012,1.21,0.74,1.07,121.72,0.51
9/1/2012,1.20,0.73,1.11,119.33,0.50
10/1/2012,1.23,0.75,1.15,117.50,0.51
11/1/2012,1.27,0.76,1.17,118.59,0.51
12/1/2012,1.29,0.77,1.18,120.88,0.51
1/1/2013,1.27,0.76,1.16,119.05,0.51
2/1/2013,1.27,0.75,1.14,115.62,0.51
3/1/2013,1.29,0.78,1.12,117.16,0.52
4/1/2013,1.34,0.79,1.12,117.99,0.53
5/1/2013,1.31,0.78,1.11,117.35,0.53
6/1/2013,1.30,0.78,1.13,114.44,0.54
7/1/2013,1.35,0.79,1.12,114.51,0.54
8/1/2013,1.33,0.78,1.10,112.26,0.53
9/1/2013,1.32,0.80,1.12,113.79,0.55
10/1/2013,1.40,0.83,1.17,117.48,0.57
11/1/2013,1.35,0.84,1.14,115.82,0.57
12/1/2013,1.32,0.82,1.14,116.88,0.56
1/1/2014,1.36,0.84,1.17,117.88,0.58
2/1/2014,1.35,0.85,1.17,119.66,0.58
3/1/2014,1.34,0.83,1.18,116.36,0.57
4/1/2014,1.31,0.83,1.16,113.29,0.57
5/1/2014,1.33,0.81,1.19,110.84,0.56
6/1/2014,1.32,0.82,1.23,112.25,0.57
7/1/2014,1.31,0.83,1.23,110.91,0.56
8/1/2014,1.32,0.81,1.25,107.97,0.55
9/1/2014,1.28,0.77,1.26,104.64,0.52
10/1/2014,1.29,0.77,1.21,107.22,0.53
11/1/2014,1.26,0.75,1.23,104.25,0.52
12/1/2014,1.29,0.77,1.24,103.55,0.53
1/1/2015,1.28,0.74,1.20,102.68,0.52
2/1/2015,1.29,0.75,1.19,103.04,0.52
3/1/2015,1.34,0.79,1.22,106.04,0.55
4/1/2015,1.38,0.80,1.26,110.20,0.55
5/1/2015,1.41,0.82,1.32,109.00,0.55
6/1/2015,1.42,0.83,1.33,111.39,0.55
7/1/2015,1.44,0.82,1.34,109.43,0.55
8/1/2015,1.40,0.82,1.37,110.18,0.55
9/1/2015,1.39,0.83,1.37,110.37,0.56
10/1/2015,1.31,0.81,1.31,104.18,0.54
11/1/2015,1.30,0.80,1.34,109.26,0.54
12/1/2015,1.31,0.80,1.33,105.84,0.55
